metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.360999999999999,11.61,16.275,26.0825,48.39700000000001,125.0663333333333,640.6160997311254
operating_profit_margin_pct,8.8,14.0,24.0,47.0,4191.200000000002,912.438202247191,8515.17433755637
debt_to_equity,0.007700000000000001,0.05475,0.43579999999999997,1.6178249999999998,6.4605700000000015,1.682541111111111,2.8760642381948758
interest_coverage,1.6751,3.3055,11.3613,58.3319,193.59160000000003,128.84181797752808,491.0866386703058
asset_turnover,0.07317,0.2087,0.6705,1.13625,1.6631000000000005,3.535855555555555,15.933447711971734
revenue_cagr_5yr,5.792707107108746,7.809087274537363,11.738557625766555,15.900422092782268,20.099577092361482,12.516578825373347,7.364483721037082
pat_cagr_5yr,6.179274874430703,9.388740058474854,12.835911623041918,19.132976127414977,24.311186314228088,14.58135523308847,10.77289607291126
free_cash_flow_cr,-14847.199999999999,-1340.0,1068.5,8164.0,20818.10000000003,706.1666666666666,23312.33183823435
earnings_per_share,6.9,16.0,41.5,73.75,158.20000000000027,82.38888888888889,139.15456562248693
dividend_payout_ratio_pct,2.0,14.0,26.0,44.0,65.20000000000002,30.333333333333332,29.928467690387585
